NbMapper,NbReducer,TempsEcoule(ms),nTest
2,1,7149,0
2,2,6894,0
2,3,7226,0
2,4,8051,0
3,1,5882,0
3,2,5975,0
3,3,6680,0
3,4,6978,0
4,1,6080,0
4,2,5699,0
4,3,5894,0
4,4,6689,0
5,1,6663,0
5,2,5208,0
5,3,6236,0
5,4,6202,0
6,1,5415,0
6,2,5015,0
6,3,5811,0
6,4,6233,0
7,1,5271,0
7,2,4797,0
7,3,5227,0
7,4,5737,0
8,1,4604,0
8,2,5110,0
8,3,4948,0
8,4,5817,0
9,1,5260,0
9,2,4535,0
9,3,5036,0
9,4,5508,0
10,1,5345,0
10,2,4483,0
10,3,5300,0
10,4,5709,0
2,1,6567,1
2,2,7550,1
2,3,7462,1
2,4,7800,1
3,1,5852,1
3,2,6318,1
3,3,6470,1
3,4,6924,1
4,1,6207,1
4,2,5749,1
4,3,5940,1
4,4,6726,1
5,1,5391,1
5,2,5180,1
5,3,6235,1
5,4,6158,1
6,1,4926,1
6,2,5505,1
6,3,5719,1
6,4,5936,1
7,1,5837,1
7,2,4699,1
7,3,5256,1
7,4,5846,1
8,1,4768,1
8,2,4459,1
8,3,5312,1
8,4,5805,1
9,1,4921,1
9,2,4505,1
9,3,5258,1
9,4,5999,1
10,1,5219,1
10,2,4563,1
10,3,5450,1
10,4,5437,1
2,1,6970,2
2,2,6909,2
2,3,7174,2
2,4,8342,2
3,1,5983,2
3,2,6094,2
3,3,6630,2
3,4,7092,2
4,1,5412,2
4,2,5688,2
4,3,6005,2
4,4,6533,2
5,1,4980,2
5,2,5645,2
5,3,6435,2
5,4,7204,2
6,1,4851,2
6,2,5191,2
6,3,5279,2
6,4,6156,2
7,1,4899,2
7,2,5049,2
7,3,5444,2
7,4,6179,2
8,1,5728,2
8,2,4594,2
8,3,5788,2
8,4,5549,2
9,1,4408,2
9,2,4657,2
9,3,4993,2
9,4,6590,2
10,1,6333,2
10,2,4918,2
10,3,5099,2
10,4,6162,2
2,1,7246,3
2,2,7297,3
2,3,7318,3
2,4,7915,3
3,1,6228,3
3,2,6337,3
3,3,6737,3
3,4,7099,3
4,1,5738,3
4,2,5943,3
4,3,6460,3
4,4,6607,3
5,1,5295,3
5,2,5148,3
5,3,6193,3
5,4,6569,3
6,1,6172,3
6,2,4943,3
6,3,5591,3
6,4,5957,3
7,1,5106,3
7,2,5086,3
7,3,5512,3
7,4,5805,3
8,1,4370,3
8,2,4696,3
8,3,5283,3
8,4,5904,3
9,1,4570,3
9,2,4519,3
9,3,4959,3
9,4,5822,3
10,1,4896,3
10,2,4570,3
10,3,5164,3
10,4,6515,3
